userId,courseId,id,firstName,lastName,email,teamId,departmentId,createdAt,password,id_course,title,description,category,createdAt_course
520,146,520,Reilly,Watsica,Gabriella_Pfannerstill55@yahoo.com,223,215,2024-10-09 06:04:26.876,HX5AFDu35hGVtgE,146,Database Management Systems,Thesaurus vester decor ocer denego certe vinco. Placeat vae amissio astrum suadeo quo vomer solutio fugit terminatio. Ex paens cruciamentum chirographum repellendus administratio centum solus eligendi.,Programming,2024-10-09 06:04:27.256
512,143,512,Fredrick,Koss,Abdul.Kuhic37@yahoo.com,231,211,2024-10-09 06:04:26.874,LVvnTEzXq_52tcs,143,Blockchain Technology,Verecundia curvo xiphias. Ceno alo surculus artificiose. Angelus advoco delectatio.,Theory,2024-10-09 06:04:27.258
515,152,515,Donato,McKenzie,Jodie.Kiehn@gmail.com,231,215,2024-10-09 06:04:26.875,qWOQ2kDODlYKwEP,152,Cloud Computing,Tametsi stultus summa assumenda ratione barba caries. Infit vel causa paens dapifer crepusculum tardus vicissitudo. Quibusdam porro teneo abduco conqueror cado depereo villa.,Programming,2024-10-09 06:04:27.257
520,156,520,Reilly,Watsica,Gabriella_Pfannerstill55@yahoo.com,223,215,2024-10-09 06:04:26.876,HX5AFDu35hGVtgE,156,Computer Vision,Cur tergum tepesco xiphias. Eaque provident adaugeo compello vere aequus undique soleo depereo vallum. Anser vulticulus aptus deprimo quidem deripio ciminatio laborum arcus.,Theory,2024-10-09 06:04:27.258
509,157,509,Asa,Kautzer,Mae23@hotmail.com,226,212,2024-10-09 06:04:26.874,tzuXKzXa2D5okRb,157,Mobile App Development,Arbustum capitulus speculum suspendo tamisium sui beatae. Succurro apto utilis officiis umquam supra cuius amita ager. Repellendus veritatis ventosus voveo ventus uter.,Theory,2024-10-09 06:04:27.258
511,153,511,Kennedi,Strosin,Verdie90@gmail.com,228,214,2024-10-09 06:04:26.874,Q4fuVJf7BHTgxKj,153,Quantum Computing,Succedo copiose sublime. Impedit arx valeo. Patior valetudo totam civis comparo autem culpo.,Theory,2024-10-09 06:04:27.258
515,149,515,Donato,McKenzie,Jodie.Kiehn@gmail.com,231,215,2024-10-09 06:04:26.875,qWOQ2kDODlYKwEP,149,Software Engineering,Sto traho coniuratio admitto. Aer vicinus cavus delectatio benigne comptus sponte est. Summa cerno brevis aestas repellendus.,Programming,2024-10-09 06:04:27.257
509,147,509,Asa,Kautzer,Mae23@hotmail.com,226,212,2024-10-09 06:04:26.874,tzuXKzXa2D5okRb,147,Internet of Things,Aeger defendo demo usitas terror debilito optio. Vero quidem varietas ulciscor. Denego contigo utrum acervus argumentum.,Applications,2024-10-09 06:04:27.257
512,158,512,Fredrick,Koss,Abdul.Kuhic37@yahoo.com,231,211,2024-10-09 06:04:26.874,LVvnTEzXq_52tcs,158,Operating Systems,Provident acies ante celebrer. Civis ullus victus porro contra nobis tertius. Nam beatae amoveo stillicidium corpus accendo nobis caute desolo suus.,Theory,2024-10-09 06:04:27.258
511,148,511,Kennedi,Strosin,Verdie90@gmail.com,228,214,2024-10-09 06:04:26.874,Q4fuVJf7BHTgxKj,148,Distributed Systems,Temporibus totam culpa ambulo. Incidunt optio cruciamentum depraedor. Adipisci aequitas acsi cunabula theologus confido debitis velut.,Programming,2024-10-09 06:04:27.257
